,POP2010,OHU2010,GroupQuartersFlag,NUMGQTRS,HUNVFlag,LowIncomeTracts,PovertyRate,LATracts10,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10
73,4327,1738,0,15,1,1,23.3,1,563.470255,0.130221922,258.2143466,0.059675144000000006,106.0723892,0.024514072,127.7693221,0.029528385,378.780119,0.087538738,170.4242963,0.039386248,1.955498274,0.000451929,0.0,0.0,7.298759186,0.001686794,5.011582593,0.001158212,3.0000000289999997,0.0006933210000000001,18.36754556,0.010568208,47.63728038
74,1774,729,0,0,0,0,19.7,0,84.03645277,0.047371168,36.52265471,0.020587742,18.36267337,0.010351,14.18757058,0.007997503000000001,83.12838647,0.046859292999999996,0.908066295,0.000511875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0849018,0.000611557,0.0,0.0,5.424067717000001
75,2931,1160,0,167,0,1,33.6,0,8.703937538,0.002969614,3.466371662,0.001182658,1.333049698,0.000454811,3.398988824,0.0011596689999999999,5.9232883439999995,0.00202091,2.780649172,0.0009487030000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.174954854,0.000150823,1.247593013
76,1410,617,0,0,0,1,27.4,0,137.019613,0.097177031,77.91115236,0.055256136,23.00341076,0.016314476,24.00852708,0.017027324,17.01961207,0.012070647,118.0000009,0.083687944,0.0,0.0,0.0,0.0,0.0,0.0,2.0000000069999997,0.00141844,7.000000066,0.0049645390000000005,3.273891945,0.005306145999999999,21.7883155
90,3731,1427,0,0,0,0,15.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,7335,2784,0,0,1,0,17.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,3843,1597,0,0,0,1,31.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,4518,1753,0,0,0,0,13.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,7069,2677,0,20,0,0,15.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,4661,1800,0,79,0,0,11.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,4615,1804,0,0,0,0,12.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,6,5,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,5,2,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,3619,1502,0,2,1,1,23.1,0,471.3371261,0.130239604,147.830557,0.040848455,80.43984826,0.022227093,104.5909529,0.028900512000000003,391.0564854,0.10805650300000001,74.24126035,0.020514301999999998,0.8611579770000001,0.000237955,0.0,0.0,0.0,0.0,5.17822339,0.001430844,4.9387281110000005,0.0013646670000000002,12.74490263,0.008485288,31.04856923
109,2900,1229,0,0,0,1,31.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,6669,2682,0,259,1,1,23.0,0,257.251846,0.038574276,100.5439149,0.015076311,42.02989513,0.006302278000000001,51.25245489,0.007685178000000001,136.6796023,0.020494767,111.746802,0.016756156,0.0,0.0,0.0,0.0,3.7194635519999997,0.000557724,5.105979914,0.000765629,9.500801298999999,0.0014246220000000002,12.65617941,0.004718933,19.42712444
111,3257,1303,0,0,0,1,22.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,4708,1911,0,15,1,1,25.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,3332,1400,0,0,0,0,18.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,3872,1570,0,0,0,1,32.0,0,11.72321892,0.003027691,6.163609941,0.001591841,1.728705104,0.000446463,2.7088707999999997,0.000699605,11.50617397,0.0029716359999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.217044921,5.6055e-05,0.0,0.0,0.0,0.0,0.201999647,0.000128662,1.155109683
119,5561,2249,0,0,0,0,18.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,4235,1735,0,0,0,0,17.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,4972,1996,0,0,0,1,23.2,0,91.79927996,0.01846325,51.30129177,0.010318039000000001,17.01889583,0.003422948,11.07013269,0.002226495,89.3846622,0.017977607,1.410913298,0.000283772,0.0,0.0,0.0,0.0,0.0,0.0,1.003704677,0.00020187099999999998,0.348952026,7.01834e-05,1.47433308,0.0007386439999999999,3.733453622
123,5219,1966,0,189,0,1,21.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,2807,1119,0,0,0,0,12.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,3808,1464,0,0,0,0,14.1,0,361.55178839999996,0.09494532300000001,155.17723940000002,0.040750325,72.88149559,0.019139048,63.2514327,0.016610145,337.18291469999997,0.08854593300000001,4.000000149,0.00105042,1.561794155,0.000410135,1.000000032,0.000262605,8.915476572000001,0.002341249,8.891602925,0.00233498,8.171514227000001,0.002145881,12.84462166,0.008773649,13.19500195
127,5466,2000,0,37,0,0,13.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,8776,3229,0,0,0,1,24.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,2902,1157,0,0,0,0,14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,3261,1197,0,26,0,1,19.2,0,27.1722544,0.008332491,15.21169025,0.004664732,5.895475847,0.001807874,5.662489431,0.001736427,27.1722544,0.008332491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.870702382,0.000727404,1.295423462
131,5101,1918,0,0,0,0,19.7,0,346.0638591,0.06784235599999999,71.64938104,0.014046143999999998,89.01402569,0.017450309,29.15420943,0.005715390999999999,275.7572715,0.054059453,38.70842217,0.007588399,0.0,0.0,21.94261564,0.00430163,0.009575336,1.87715e-06,9.645975671,0.0018909970000000002,37.91472578,0.007432803000000001,0.00020170099999999999,1.05162e-07,32.73184631
132,3184,1419,0,2,1,1,24.9,1,2391.714016,0.751166462,871.7170597999999,0.273780484,495.59305240000003,0.155651084,395.80434039999994,0.12431040800000001,483.07513560000007,0.151719578,1896.061255,0.595496625,0.0,0.0,0.0,0.0,5.000000157,0.0015703520000000001,7.577630527,0.002379909,7.251917025,0.002277612,105.7372395,0.07451532,334.0110202
133,4423,1931,0,127,1,1,20.0,0,220.9063301,0.049944907999999996,111.8030513,0.025277651,44.15360268,0.009982727,38.85482084,0.008784721,175.96773430000002,0.039784701,43.64768466,0.009868344,0.0,0.0,0.0,0.0,0.0,0.0,1.290910132,0.000291863,3.9917964219999997,0.0009025089999999999,8.477595412000001,0.004390262,20.68827337
134,3879,1567,0,0,0,0,12.0,0,86.93003672,0.022410425,24.93283513,0.006427645,17.27908527,0.0044545209999999995,17.86921813,0.004606656,84.42178057,0.0217638,2.50825688,0.000646625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078223213,2.01658e-05,1.911178604,0.001219642,4.893098696
135,2373,949,0,0,0,1,35.1,0,3.344815731,0.00140953,1.9262303109999999,0.0008117280000000001,0.528128803,0.00022255700000000002,0.352085859,0.000148372,0.352085859,0.000148372,2.9927299019999998,0.001261159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12193449599999999,0.00012848700000000002,0.478896439
136,1760,722,0,0,0,1,21.0,0,84.91189278,0.048245394000000004,47.41002807,0.026937516,16.99789469,0.009657895,15.25929679,0.008670055,25.29147571,0.014370157,58.63729756,0.033316646,0.0,0.0,0.0,0.0,0.0,0.0,0.983119944,0.000558591,0.215635265,0.00012252,7.176506077999999,0.009939759,5.8083535379999995
137,998,377,0,0,0,0,13.8,1,356.0110019,0.356724451,99.69624276,0.099896035,90.61692053,0.09079851800000001,64.2026641,0.06433132700000001,213.53338760000003,0.21396131,140.2348703,0.140515902,0.0,0.0,0.0,0.0,1.269470872,0.001272015,0.973273264,0.0009752239999999999,2.999999943,0.003006012,15.05377969,0.03993045,8.105881265
139,1329,572,0,0,0,1,33.4,0,148.2780041,0.111571109,66.33489540000001,0.04991339,36.84876701,0.027726687000000003,16.40119655,0.012341006000000002,24.38913673,0.018351495,123.8888689,0.093219615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.960545786,0.003427528,11.9844299
140,5488,2199,0,119,1,1,36.5,1,692.0364658,0.126099939,492.322664,0.08970894,167.6737852,0.030552802999999996,107.12117830000001,0.019519165,88.29683867,0.016089074,595.5299198,0.108514927,0.0,0.0,0.988259672,0.000180076,0.0,0.0,7.22144628,0.001315861,6.546746744,0.00119292,72.86987666,0.033137734,83.98714468
